height,width,depth_300,depth_450,depth_500,depth_550,depth_600
100,252,56.75,59.74,62.73,64.22,68.70
100,352,58.88,61.98,65.08,66.63,71.28
100,452,61.09,64.30,67.52,69.13,73.95
100,552,63.38,66.72,70.05,71.72,76.72
100,652,65.76,69.22,72.68,74.41,79.60
100,752,68.22,71.81,75.40,77.20,82.59
100,852,70.78,74.51,78.23,80.09,85.68
100,952,73.44,77.30,81.17,83.10,88.90
100,1152,76.19,80.20,84.21,86.21,92.23
150,252,65.27,68.70,72.14,73.85,79.01
150,352,67.88,71.45,75.02,76.81,82.17
150,452,70.59,74.31,78.02,79.88,85.45
150,552,73.42,77.28,81.14,83.08,88.87
150,652,76.35,80.37,84.39,86.40,92.43
150,752,79.41,83.59,87.76,89.85,96.12
150,852,82.58,86.93,91.28,93.45,99.97
150,952,85.89,90.41,94.93,97.19,103.97
150,1152,89.32,94.02,98.72,101.07,108.13
175,252,73.78,77.66,81.55,83.49,89.31
175,352,77.47,81.55,85.62,87.66,93.78
175,452,81.34,85.62,89.90,92.04,98.47
175,552,85.41,89.90,94.40,96.65,103.39
175,652,89.68,94.40,99.12,101.48,108.56
175,752,94.16,99.12,104.07,106.55,113.99
175,852,98.87,104.07,109.28,111.88,119.69
175,952,103.81,109.28,114.74,117.47,125.67
175,1152,109.01,114.74,120.48,123.35,131.95
225,252,90.80,95.58,100.36,102.75,109.92
225,352,95.57,100.60,105.63,108.15,115.69
225,452,100.59,105.88,111.18,113.83,121.77
225,552,105.87,111.44,117.01,119.80,128.16
225,652,111.43,117.29,123.16,126.09,134.89
225,752,117.28,123.45,129.62,132.71,141.97
225,852,123.44,129.93,136.43,139.68,149.42
225,952,129.92,136.75,143.59,147.01,157.27
225,1152,136.74,143.93,151.13,154.73,165.52
270,252,119.18,125.45,131.73,134.86,144.27
270,352,125.44,132.04,138.31,141.94,151.85
270,452,132.02,138.97,145.23,149.40,159.82
270,552,138.96,146.27,152.49,157.24,168.21
270,652,146.25,153.95,160.11,165.49,177.04
270,752,153.93,162.03,168.12,174.18,186.33
270,852,162.01,170.54,176.53,183.33,196.12
270,952,170.52,179.49,185.35,192.95,206.41
270,1152,179.47,188.91,194.62,203.08,217.25
300,252,139.04,146.36,153.68,157.34,168.32
300,352,146.34,154.05,161.37,165.60,177.15
300,452,154.03,162.13,169.43,174.29,186.45
300,552,162.11,170.65,177.91,183.45,196.24
300,652,170.63,179.61,186.80,193.08,206.55
300,752,179.58,189.03,196.14,203.21,217.39
300,852,189.01,198.96,205.95,213.88,228.80
300,952,198.93,209.40,216.24,225.11,240.82
300,1152,209.38,220.40,227.06,236.93,253.46
