height,width,depth_300,depth_450,depth_500,depth_550,depth_600
100,252,102.16,107.53,112.91,115.60,123.66
100,352,105.99,111.56,117.14,119.93,128.30
100,452,109.96,115.75,121.54,124.43,133.11
100,552,114.08,120.09,126.09,129.10,138.10
100,652,118.36,124.59,130.82,133.94,143.28
100,752,122.80,129.26,135.73,138.96,148.65
100,852,127.41,134.11,140.82,144.17,154.23
100,952,132.18,139.14,146.10,149.58,160.01
100,1152,137.14,144.36,151.58,155.19,166.01
150,252,117.48,123.66,129.84,132.94,142.21
150,352,122.18,128.61,135.04,138.25,147.90
150,452,127.06,133.75,140.44,143.78,153.82
150,552,132.15,139.10,146.06,149.54,159.97
150,652,137.43,144.67,151.90,155.52,166.37
150,752,142.93,150.45,157.98,161.74,173.02
150,852,148.65,156.47,164.30,168.21,179.94
150,952,154.59,162.73,170.87,174.94,187.14
150,1152,160.78,169.24,177.70,181.93,194.63
175,252,132.80,139.79,146.78,150.28,160.76
175,352,139.44,146.78,154.12,157.79,168.80
175,452,146.41,154.12,161.83,165.68,177.24
175,552,153.73,161.83,169.92,173.96,186.10
175,652,161.42,169.92,178.41,182.66,195.41
175,752,169.49,178.41,187.33,191.79,205.18
175,852,177.97,187.33,196.70,201.38,215.43
175,952,186.87,196.70,206.54,211.45,226.21
175,1152,196.21,206.54,216.86,222.03,237.52
225,252,163.45,172.05,180.65,184.96,197.86
225,352,172.03,181.08,190.14,194.67,208.25
225,452,181.06,190.59,200.12,204.89,219.18
225,552,190.57,200.60,210.63,215.64,230.69
225,652,200.57,211.13,221.68,226.96,242.80
225,752,211.10,222.21,233.32,238.88,255.54
225,852,222.18,233.88,245.57,251.42,268.96
225,952,233.85,246.16,258.46,264.62,283.08
225,1152,246.13,259.08,272.03,278.51,297.94
270,252,214.53,225.82,237.11,242.75,259.69
270,352,225.79,237.67,248.96,255.50,273.32
270,452,237.64,250.15,261.41,268.91,287.67
270,552,250.12,263.28,274.48,283.03,302.78
270,652,263.25,277.11,288.21,297.89,318.67
270,752,277.07,291.65,302.62,313.53,335.40
270,852,291.62,306.97,317.75,329.99,353.01
270,952,306.93,323.08,333.63,347.31,371.54
270,1152,323.04,340.04,350.32,365.55,391.05
300,252,250.28,263.45,276.63,283.21,302.97
300,352,263.42,277.28,290.46,298.08,318.88
300,452,277.25,291.84,304.98,313.73,335.62
300,552,291.81,307.16,320.23,330.20,353.24
300,652,307.13,323.29,336.24,347.54,371.78
300,752,323.25,340.26,353.05,365.78,391.30
300,852,340.22,358.13,370.71,384.99,411.85
300,952,358.08,376.93,389.24,405.20,433.47
300,1152,376.88,396.72,408.70,426.47,456.22
